Date,Ticker,Action,Firm,To Grade,From Grade
2017-09-25,ABBV,down,UBS,Neutral,Buy
2017-10-02,ABBV,main,Leerink Swann,Outperform,
2017-10-02,ABBV,up,Leerink Swann,Outperform,Market Perform
2017-10-05,ABBV,main,Leerink Swann,Outperform,
2017-10-11,ABBV,up,Cowen & Co.,Outperform,Market Perform
2017-10-13,ABBV,main,Barclays,Equal-Weight,
2017-10-13,ABBV,main,UBS,Neutral,
2017-10-30,ABBV,main,Leerink Swann,Outperform,
2017-11-16,ABBV,main,BMO Capital,Market Perform,
2018-01-29,ABBV,down,Leerink Swann,Market Perform,Outperform
2018-01-30,ABBV,down,BMO Capital,Underperform,Market Perform
2018-01-30,ABBV,main,Morgan Stanley,Equal-Weight,Equal-Weight
2018-02-02,ABBV,main,Argus,Buy,
2018-03-23,ABBV,main,BMO Capital,Underperform,Underperform
2018-04-05,ABBV,main,Barclays,Equal-Weight,Equal-Weight
2018-04-27,ABBV,main,Credit Suisse,Neutral,Neutral
2018-04-30,ABBV,main,Morgan Stanley,Equal-Weight,Equal-Weight
2018-05-23,ABBV,main,BMO Capital,Underperform,Underperform
2018-05-30,ABBV,down,Credit Suisse,Underperform,Neutral
2018-06-01,ABBV,down,PiperJaffray,Neutral,Overweight
2018-06-11,ABBV,main,Argus,Buy,Buy
2018-07-12,ABBV,init,Berenberg,Hold,
2018-07-30,ABBV,main,Bank of America,Buy,Buy
2018-08-22,ABBV,main,Bank of America,Buy,Buy
2018-10-04,ABBV,main,Bank of America,Buy,Buy
2018-11-05,ABBV,main,BMO Capital,Underperform,Underperform
2018-11-06,ABBV,main,Argus,Buy,Buy
2018-12-26,ABBV,init,Standpoint Research,Buy,
2019-01-03,ABBV,down,Bank of America,Neutral,Buy
2019-04-29,ABBV,up,BMO Capital,Market Perform,Underperformer
2019-05-28,ABBV,init,Goldman Sachs,Neutral,
2019-06-26,ABBV,up,SVB Leerink,Outperform,Market Perform
2019-08-20,ABBV,up,Piper Jaffray,Overweight,Neutral
2019-09-04,ABBV,main,Piper Jaffray,Overweight,
2019-09-12,ABBV,up,UBS,Buy,Neutral
2019-09-26,ABBV,up,Citigroup,Buy,Neutral
2019-11-19,ABBV,main,UBS,Buy,
2019-11-20,ABBV,main,Citi,Buy,
2019-12-26,ABBV,main,Cowen & Co.,Outperform,
2020-02-06,ABBV,init,Mizuho,Buy,
2020-02-10,ABBV,main,Mizuho,Buy,
2020-02-18,ABBV,main,Cowen & Co.,Outperform,
2020-02-27,ABBV,init,Barclays,Equal-Weight,
2020-03-23,ABBV,down,Societe Generale,Hold,Buy
2020-04-13,ABBV,main,UBS,Buy,
2020-04-20,ABBV,up,RBC Capital,Outperform,Sector Perform
2020-05-04,ABBV,main,SVB Leerink,Outperform,
2020-05-11,ABBV,main,SVB Leerink,Outperform,
2020-05-12,ABBV,up,JP Morgan,Overweight,Neutral
